Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
819,822,phylloscopus humei,hume's warbler,0.9481,psh10,2024,6,4,7,33.13514,76.463139,3664,1
825,828,phylloscopus humei,hume's warbler,0.9669,psh10,2024,6,4,7,33.13514,76.463139,3664,1
831,834,phylloscopus humei,hume's warbler,0.9571,psh10,2024,6,4,7,33.13514,76.463139,3664,1
837,840,phylloscopus trochiloides,greenish warbler,0.621,psh10,2024,6,4,7,33.13514,76.463139,3664,1
840,843,phylloscopus humei,hume's warbler,0.6928,psh10,2024,6,4,7,33.13514,76.463139,3664,1
846,849,phylloscopus humei,hume's warbler,0.9327,psh10,2024,6,4,7,33.13514,76.463139,3664,1
855,858,phylloscopus humei,hume's warbler,0.9122,psh10,2024,6,4,7,33.13514,76.463139,3664,1
861,864,phylloscopus humei,hume's warbler,0.9726,psh10,2024,6,4,7,33.13514,76.463139,3664,1
864,867,turdus iliacus,redwing,0.7386,psh10,2024,6,4,7,33.13514,76.463139,3664,0
867,870,phylloscopus pulcher,buff-barred warbler,0.6064,psh10,2024,6,4,7,33.13514,76.463139,3664,1
870,873,phylloscopus humei,hume's warbler,0.575,psh10,2024,6,4,7,33.13514,76.463139,3664,1
876,879,phylloscopus humei,hume's warbler,0.6776,psh10,2024,6,4,7,33.13514,76.463139,3664,1
882,885,phylloscopus humei,hume's warbler,0.6036,psh10,2024,6,4,7,33.13514,76.463139,3664,1
12,15,phylloscopus pulcher,buff-barred warbler,0.6514,psh10,2024,6,5,5,33.13514,76.463139,3664,1
21,24,phylloscopus pulcher,buff-barred warbler,0.8078,psh10,2024,6,5,5,33.13514,76.463139,3664,1
30,33,phylloscopus pulcher,buff-barred warbler,0.5608,psh10,2024,6,5,5,33.13514,76.463139,3664,1
45,48,phylloscopus pulcher,buff-barred warbler,0.73,psh10,2024,6,5,5,33.13514,76.463139,3664,1
48,51,phylloscopus pulcher,buff-barred warbler,0.9208,psh10,2024,6,5,5,33.13514,76.463139,3664,1
54,57,phylloscopus trochiloides,greenish warbler,0.8077,psh10,2024,6,5,5,33.13514,76.463139,3664,1
138,141,phylloscopus nitidus,green warbler,0.599,psh10,2024,6,5,5,33.13514,76.463139,3664,0
138,141,phylloscopus trochiloides,greenish warbler,0.5473,psh10,2024,6,5,5,33.13514,76.463139,3664,1
150,153,phylloscopus nitidus,green warbler,0.5034,psh10,2024,6,5,5,33.13514,76.463139,3664,0
171,174,phylloscopus pulcher,buff-barred warbler,0.6106,psh10,2024,6,5,5,33.13514,76.463139,3664,1
186,189,phylloscopus trochiloides,greenish warbler,0.5081,psh10,2024,6,5,5,33.13514,76.463139,3664,1
192,195,tarsiger rufilatus,himalayan bluetail,0.8118,psh10,2024,6,5,5,33.13514,76.463139,3664,1
198,201,tarsiger rufilatus,himalayan bluetail,0.8998,psh10,2024,6,5,5,33.13514,76.463139,3664,1
198,201,phylloscopus nitidus,green warbler,0.7102,psh10,2024,6,5,5,33.13514,76.463139,3664,0
204,207,tarsiger rufilatus,himalayan bluetail,0.7106,psh10,2024,6,5,5,33.13514,76.463139,3664,1
222,225,phylloscopus trochiloides,greenish warbler,0.5043,psh10,2024,6,5,5,33.13514,76.463139,3664,1
225,228,phylloscopus trochiloides,greenish warbler,0.5871,psh10,2024,6,5,5,33.13514,76.463139,3664,1
