Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
804.0,807.0,hume's warbler,0.9927,psh10,6,4,7,33.13514,76.463139,3664,1,high
813.0,816.0,hume's warbler,0.8957,psh10,6,4,7,33.13514,76.463139,3664,1,high
819.0,822.0,hume's warbler,0.9481,psh10,6,4,7,33.13514,76.463139,3664,1,high
825.0,828.0,hume's warbler,0.9669,psh10,6,4,7,33.13514,76.463139,3664,1,high
831.0,834.0,hume's warbler,0.9571,psh10,6,4,7,33.13514,76.463139,3664,1,high
837.0,840.0,greenish warbler,0.621,psh10,6,4,7,33.13514,76.463139,3664,1,high
840.0,843.0,hume's warbler,0.6928,psh10,6,4,7,33.13514,76.463139,3664,1,high
846.0,849.0,hume's warbler,0.9327,psh10,6,4,7,33.13514,76.463139,3664,1,high
855.0,858.0,hume's warbler,0.9122,psh10,6,4,7,33.13514,76.463139,3664,1,high
861.0,864.0,hume's warbler,0.9726,psh10,6,4,7,33.13514,76.463139,3664,1,high
864.0,867.0,redwing,0.7386,psh10,6,4,7,33.13514,76.463139,3664,0,high
867.0,870.0,buff-barred warbler,0.6064,psh10,6,4,7,33.13514,76.463139,3664,1,high
870.0,873.0,hume's warbler,0.575,psh10,6,4,7,33.13514,76.463139,3664,1,high
876.0,879.0,hume's warbler,0.6776,psh10,6,4,7,33.13514,76.463139,3664,1,high
882.0,885.0,hume's warbler,0.6036,psh10,6,4,7,33.13514,76.463139,3664,1,high
12.0,15.0,buff-barred warbler,0.6514,psh10,6,5,5,33.13514,76.463139,3664,1,high
21.0,24.0,buff-barred warbler,0.8078,psh10,6,5,5,33.13514,76.463139,3664,1,high
30.0,33.0,buff-barred warbler,0.5608,psh10,6,5,5,33.13514,76.463139,3664,1,high
45.0,48.0,buff-barred warbler,0.73,psh10,6,5,5,33.13514,76.463139,3664,1,high
48.0,51.0,buff-barred warbler,0.9208,psh10,6,5,5,33.13514,76.463139,3664,1,high
54.0,57.0,greenish warbler,0.8077,psh10,6,5,5,33.13514,76.463139,3664,1,high
138.0,141.0,green warbler,0.599,psh10,6,5,5,33.13514,76.463139,3664,0,high
138.0,141.0,greenish warbler,0.5473,psh10,6,5,5,33.13514,76.463139,3664,1,high
150.0,153.0,green warbler,0.5034,psh10,6,5,5,33.13514,76.463139,3664,0,high
171.0,174.0,buff-barred warbler,0.6106,psh10,6,5,5,33.13514,76.463139,3664,1,high
186.0,189.0,greenish warbler,0.5081,psh10,6,5,5,33.13514,76.463139,3664,1,high
192.0,195.0,himalayan bluetail,0.8118,psh10,6,5,5,33.13514,76.463139,3664,1,high
198.0,201.0,himalayan bluetail,0.8998,psh10,6,5,5,33.13514,76.463139,3664,1,high
198.0,201.0,green warbler,0.7102,psh10,6,5,5,33.13514,76.463139,3664,0,high
204.0,207.0,himalayan bluetail,0.7106,psh10,6,5,5,33.13514,76.463139,3664,1,high
222.0,225.0,greenish warbler,0.5043,psh10,6,5,5,33.13514,76.463139,3664,1,high
225.0,228.0,greenish warbler,0.5871,psh10,6,5,5,33.13514,76.463139,3664,1,high
240.0,243.0,greenish warbler,0.6716,psh10,6,5,5,33.13514,76.463139,3664,1,high
240.0,243.0,green warbler,0.5111,psh10,6,5,5,33.13514,76.463139,3664,0,high
249.0,252.0,green warbler,0.8461,psh10,6,5,5,33.13514,76.463139,3664,0,high
285.0,288.0,buff-barred warbler,0.8902,psh10,6,5,5,33.13514,76.463139,3664,1,high
288.0,291.0,buff-barred warbler,0.6204,psh10,6,5,5,33.13514,76.463139,3664,1,high
294.0,297.0,green warbler,0.6647,psh10,6,5,5,33.13514,76.463139,3664,0,high
297.0,300.0,buff-barred warbler,0.9214,psh10,6,5,5,33.13514,76.463139,3664,1,high
306.0,309.0,greenish warbler,0.7486,psh10,6,5,5,33.13514,76.463139,3664,1,high
330.0,333.0,buff-barred warbler,0.8552,psh10,6,5,5,33.13514,76.463139,3664,1,high
339.0,342.0,buff-barred warbler,0.7108,psh10,6,5,5,33.13514,76.463139,3664,1,high
342.0,345.0,buff-barred warbler,0.6859,psh10,6,5,5,33.13514,76.463139,3664,1,high
345.0,348.0,green warbler,0.8678,psh10,6,5,5,33.13514,76.463139,3664,0,high
372.0,375.0,green warbler,0.8384,psh10,6,5,5,33.13514,76.463139,3664,0,high
390.0,393.0,greenish warbler,0.6394,psh10,6,5,5,33.13514,76.463139,3664,1,high
411.0,414.0,green warbler,0.501,psh10,6,5,5,33.13514,76.463139,3664,0,high
420.0,423.0,blyth's leaf warbler,0.5673,psh10,6,5,5,33.13514,76.463139,3664,0,high
429.0,432.0,greenish warbler,0.9673,psh10,6,5,5,33.13514,76.463139,3664,1,high
432.0,435.0,green warbler,0.7073,psh10,6,5,5,33.13514,76.463139,3664,0,high
456.0,459.0,green warbler,0.6445,psh10,6,5,5,33.13514,76.463139,3664,0,high
465.0,468.0,green warbler,0.5418,psh10,6,5,5,33.13514,76.463139,3664,0,high
471.0,474.0,magnolia warbler,0.8453,psh10,6,5,5,33.13514,76.463139,3664,0,high
474.0,477.0,greenish warbler,0.7148,psh10,6,5,5,33.13514,76.463139,3664,1,high
501.0,504.0,green warbler,0.7486,psh10,6,5,5,33.13514,76.463139,3664,0,high
507.0,510.0,green warbler,0.8644,psh10,6,5,5,33.13514,76.463139,3664,0,high
510.0,513.0,green warbler,0.9557,psh10,6,5,5,33.13514,76.463139,3664,0,high
510.0,513.0,greenish warbler,0.9041,psh10,6,5,5,33.13514,76.463139,3664,1,high
528.0,531.0,green warbler,0.736,psh10,6,5,5,33.13514,76.463139,3664,0,high
552.0,555.0,magnolia warbler,0.5615,psh10,6,5,5,33.13514,76.463139,3664,0,high
564.0,567.0,green warbler,0.8656,psh10,6,5,5,33.13514,76.463139,3664,0,high
564.0,567.0,greenish warbler,0.6868,psh10,6,5,5,33.13514,76.463139,3664,1,high
573.0,576.0,blyth's leaf warbler,0.6187,psh10,6,5,5,33.13514,76.463139,3664,0,high
594.0,597.0,blyth's leaf warbler,0.5457,psh10,6,5,5,33.13514,76.463139,3664,0,high
600.0,603.0,greenish warbler,0.8665,psh10,6,5,5,33.13514,76.463139,3664,1,high
600.0,603.0,green warbler,0.5905,psh10,6,5,5,33.13514,76.463139,3664,0,high
627.0,630.0,green warbler,0.5724,psh10,6,5,5,33.13514,76.463139,3664,0,high
630.0,633.0,green warbler,0.6347,psh10,6,5,5,33.13514,76.463139,3664,0,high
630.0,633.0,greenish warbler,0.6028,psh10,6,5,5,33.13514,76.463139,3664,1,high
669.0,672.0,green warbler,0.7491,psh10,6,5,5,33.13514,76.463139,3664,0,high
678.0,681.0,green warbler,0.9194,psh10,6,5,5,33.13514,76.463139,3664,0,high
